date,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession
2021-08-15,Premier League,1,Sun,Away,W,4.0,2.0,Newcastle Utd,2.3,1.5,53.0
2021-08-23,Premier League,2,Mon,Home,W,4.0,1.0,Leicester City,2.5,0.8,53.0
2021-08-28,Premier League,3,Sat,Home,D,2.0,2.0,Crystal Palace,1.2,0.7,46.0
2021-09-11,Premier League,4,Sat,Away,D,0.0,0.0,Southampton,0.6,0.8,58.0
2021-09-19,Premier League,5,Sun,Home,L,1.0,2.0,Manchester Utd,1.6,1.8,39.0
2021-09-25,Premier League,6,Sat,Away,W,2.0,1.0,Leeds United,1.8,1.3,47.0
2021-10-03,Premier League,7,Sun,Home,L,1.0,2.0,Brentford,1.3,1.2,59.0
2021-10-17,Premier League,8,Sun,Away,W,1.0,0.0,Everton,1.5,0.8,61.0
2021-10-24,Premier League,9,Sun,Home,W,1.0,0.0,Tottenham,1.2,0.7,39.0
2021-10-31,Premier League,10,Sun,Away,W,4.0,1.0,Aston Villa,2.3,0.7,58.0
2021-11-07,Premier League,11,Sun,Home,W,3.0,2.0,Liverpool,1.0,1.4,32.0
2021-11-20,Premier League,12,Sat,Away,L,0.0,1.0,Wolves,0.5,1.2,47.0
2021-11-28,Premier League,13,Sun,Away,L,1.0,2.0,Manchester City,0.2,2.1,33.0
2021-12-01,Premier League,14,Wed,Home,D,1.0,1.0,Brighton,1.6,1.1,35.0
